"id","registration","timestamp","lat","lon","altitude"
94,"EC-IKS","2023-05-18 08:40:25.69",NULL,NULL,NULL
95,"EC-ISB","2023-05-18 08:40:26.048",NULL,NULL,NULL
96,"EC-LDF","2023-05-18 08:40:26.38",NULL,NULL,NULL
97,"EC-KXU","2023-05-18 08:40:26.778",NULL,NULL,NULL
98,"EC-ISZ","2023-05-18 08:40:27.136",NULL,NULL,NULL
99,"EC-LAR","2023-05-18 08:40:27.537",NULL,NULL,NULL
100,"EC-JMK","2023-05-18 08:40:27.926",NULL,NULL,NULL
101,"EC-LGC","2023-05-18 08:40:28.268",NULL,NULL,NULL
102,"EC-LGD","2023-05-18 08:40:28.623",NULL,NULL,NULL
103,"EC-MHV","2023-05-18 08:40:28.95",NULL,NULL,NULL
104,"EC-LBD","2023-05-18 08:45:24.517",NULL,NULL,NULL
105,"EC-MMF","2023-05-18 08:45:24.855",NULL,NULL,NULL
106,"EC-MDO","2023-05-18 08:45:25.182",NULL,NULL,NULL
107,"EC-IKS","2023-05-18 08:45:25.538",NULL,NULL,NULL
108,"EC-ISB","2023-05-18 08:45:25.923",NULL,NULL,NULL
109,"EC-LDF","2023-05-18 08:45:26.319",NULL,NULL,NULL
110,"EC-KXU","2023-05-18 08:45:26.654",NULL,NULL,NULL
111,"EC-ISZ","2023-05-18 08:45:26.99",NULL,NULL,NULL
112,"EC-LAR","2023-05-18 08:45:27.329",NULL,NULL,NULL
113,"EC-JMK","2023-05-18 08:45:27.707",NULL,NULL,NULL
114,"EC-LGC","2023-05-18 08:45:28.147",NULL,NULL,NULL
115,"EC-LGD","2023-05-18 08:45:28.481",NULL,NULL,NULL
116,"EC-MHV","2023-05-18 08:45:28.861",NULL,NULL,NULL
117,"EC-LBD","2023-05-18 08:50:24.556",NULL,NULL,NULL
118,"EC-MMF","2023-05-18 08:50:24.94",NULL,NULL,NULL
119,"EC-MDO","2023-05-18 08:50:25.316",NULL,NULL,NULL
120,"EC-IKS","2023-05-18 08:50:25.722",NULL,NULL,NULL
121,"EC-ISB","2023-05-18 08:50:26.116",NULL,NULL,NULL
122,"EC-LDF","2023-05-18 08:50:26.486",NULL,NULL,NULL
123,"EC-KXU","2023-05-18 08:50:26.848",NULL,NULL,NULL
124,"EC-ISZ","2023-05-18 08:50:27.174",NULL,NULL,NULL
125,"EC-LAR","2023-05-18 08:50:27.572",NULL,NULL,NULL
126,"EC-JMK","2023-05-18 08:50:27.927",NULL,NULL,NULL
127,"EC-LGC","2023-05-18 08:50:28.308",NULL,NULL,NULL
128,"EC-LGD","2023-05-18 08:50:28.671",NULL,NULL,NULL
129,"EC-MHV","2023-05-18 08:50:29.027",NULL,NULL,NULL
130,"EC-LBD","2023-05-18 08:55:24.571",NULL,NULL,NULL
131,"EC-MMF","2023-05-18 08:55:24.96",NULL,NULL,NULL
